order_week,gmv,sla,product_procurement_sla,s1_fact.order_payment_type_Prepaid,product_mrp,sale_price_per_unit,spec_days,NPS,Stock Index,Total Investment,TV,Digital,Sponsorship,Content Marketing,Online marketing, Affiliates,SEM,Radio,Other,product_analytic_vertical_Binoculars,product_analytic_vertical_BoomBox,product_analytic_vertical_CameraAccessory,product_analytic_vertical_CameraBag,product_analytic_vertical_CameraBattery,product_analytic_vertical_CameraBatteryCharger,product_analytic_vertical_CameraBatteryGrip,product_analytic_vertical_CameraEyeCup,product_analytic_vertical_CameraFilmRolls,product_analytic_vertical_CameraMicrophone,product_analytic_vertical_CameraMount,product_analytic_vertical_CameraRemoteControl,product_analytic_vertical_CameraTripod,product_analytic_vertical_CoolingPad,product_analytic_vertical_DJController,product_analytic_vertical_Dock,product_analytic_vertical_DockingStation,product_analytic_vertical_ExtensionTube,product_analytic_vertical_FMRadio,product_analytic_vertical_Filter,product_analytic_vertical_Flash,product_analytic_vertical_GamePad,product_analytic_vertical_GamingAccessoryKit,product_analytic_vertical_GamingAdapter,product_analytic_vertical_GamingChargingStation,product_analytic_vertical_GamingGun,product_analytic_vertical_GamingHeadset,product_analytic_vertical_GamingKeyboard,product_analytic_vertical_GamingMemoryCard,product_analytic_vertical_GamingMouse,product_analytic_vertical_GamingMousePad,product_analytic_vertical_GamingSpeaker,product_analytic_vertical_HiFiSystem,product_analytic_vertical_HomeAudioSpeaker,product_analytic_vertical_JoystickGamingWheel,product_analytic_vertical_Lens,product_analytic_vertical_MotionController,product_analytic_vertical_SlingBox,product_analytic_vertical_Softbox,product_analytic_vertical_SoundMixer,product_analytic_vertical_Strap,product_analytic_vertical_TVOutCableAccessory,product_analytic_vertical_Telescope,product_analytic_vertical_VoiceRecorder,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm)
28.0,3433734.0,6.556407014186804,2.746784435394028,0.3022795796913203,3476.680722664701,2041.1631643106505,0.0,1.7612770352379459,37.96774193548389,0.5503798529892859,0.006946135611684555,0.08171011962733306,0.23916999140723327,3.0093468929705536e-05,0.04281540629111281,0.017653350288892252,0.1620547562941003,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.025,0.05,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.05,0.041666666666666664,0.058333333333333334,0.03333333333333333,0.05,0.0,0.0,0.05,0.05,0.041666666666666664,0.05,0.05,0.0,0.0,0.05,0.041666666666666664,0.05,0.025,0.0,0.0,0.0,0.025,0.05,0.0,0.0,24.833333333333332,15.333333333333334,20.099999999999998,0.2833333333333333,2.3833333333333333,4.416666666666667,0.0,4.416666666666667,0.0
29.0,2966853.0,6.105827610279308,2.982032129018359,0.28917213268185255,2458.574651414024,1316.4615694683466,0.27586206896551724,1.761277035237947,37.96774193548389,0.550379852989285,0.006946135611684554,0.08171011962733306,0.23916999140723313,3.009346892970558e-05,0.04281540629111281,0.017653350288892252,0.16205475629410035,0.0,0.0,0.04827586206896552,0.0,0.0,0.04827586206896552,0.04827586206896552,0.04827586206896552,0.0,0.0,0.0,0.0,0.0,0.04827586206896552,0.04827586206896552,0.0,0.0,0.020689655172413793,0.0,0.0,0.034482758620689655,0.04827586206896552,0.013793103448275862,0.04827586206896552,0.04827586206896552,0.041379310344827586,0.0,0.0,0.04827586206896552,0.04827586206896552,0.04827586206896552,0.04827586206896552,0.04827586206896552,0.0,0.0,0.04827586206896552,0.020689655172413793,0.04827586206896552,0.04827586206896552,0.0,0.0,0.0,0.0,0.04827586206896552,0.0,0.0,28.75,17.583333333333332,23.183333333333334,0.0,5.183333333333334,1.4000000000000001,0.0,1.4000000000000001,0.0
30.0,1453121.0,6.0353856751337185,2.9238742508954205,0.3091752146704939,2239.0817615977658,1518.190843973465,0.0,1.7612770352379463,37.96774193548389,0.5503798529892855,0.006946135611684555,0.08171011962733306,0.23916999140723333,3.0093468929705536e-05,0.04281540629111281,0.017653350288892252,0.16205475629410032,0.0,0.0,0.046153846153846156,0.0,0.046153846153846156,0.05384615384615385,0.05384615384615385,0.05384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.05384615384615385,0.0,0.0,0.03076923076923077,0.0,0.0,0.05384615384615385,0.05384615384615385,0.0,0.05384615384615385,0.046153846153846156,0.0,0.0,0.0,0.023076923076923078,0.046153846153846156,0.015384615384615385,0.05384615384615385,0.023076923076923078,0.0,0.05384615384615385,0.05384615384615385,0.0,0.05384615384615385,0.023076923076923078,0.0,0.0,0.0,0.023076923076923078,0.046153846153846156,0.007692307692307693,0.03076923076923077,29.75,16.6,23.06,0.0,5.0600000000000005,0.9,0.0,0.9,0.0
31.0,587288.0,6.188282193651758,2.993686730338904,0.29092577712142914,2653.250465959966,1358.2311229269926,0.0,1.7612770352379419,37.96774193548389,0.5503798529892854,0.0069461356116845546,0.08171011962733303,0.23916999140723283,3.009346892970554e-05,0.042815406291112815,0.017653350288892252,0.16205475629410016,0.0,0.0,0.04,0.0,0.0,0.04,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.05333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.02666666666666667,0.06666666666666667,0.06666666666666667,0.05333333333333334,0.0,0.0,0.06666666666666667,0.06666666666666667,0.013333333333333334,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,0.06666666666666667,0.04,0.0,0.0,31.583333333333332,17.5,24.566666666666663,0.0,6.566666666666666,4.633333333333334,0.0,4.633333333333334,0.0
36.0,2406536.5,5.921864332630174,2.649075407620392,0.24812456183523396,2192.7097580078203,1260.2051770959922,0.0,1.5641806229087951,36.699999999999896,3.2084793288224196,0.12931678722659248,0.045217586610922574,2.092921710454352,0.020343069392139722,0.5459996664343033,0.16794220719466327,0.20673830150943837,0.0,0.0,0.03821656050955414,0.0,0.025477707006369428,0.03821656050955414,0.03821656050955414,0.03821656050955414,0.012738853503184714,0.0,0.03184713375796178,0.0,0.03821656050955414,0.03821656050955414,0.03821656050955414,0.0,0.01910828025477707,0.03821656050955414,0.006369426751592357,0.0,0.03821656050955414,0.03821656050955414,0.03821656050955414,0.03821656050955414,0.03821656050955414,0.03821656050955414,0.0,0.0,0.03821656050955414,0.03821656050955414,0.006369426751592357,0.03821656050955414,0.03821656050955414,0.0,0.0,0.03821656050955414,0.025477707006369428,0.03821656050955414,0.012738853503184714,0.0,0.0,0.0,0.025477707006369428,0.03821656050955414,0.03184713375796178,0.0,30.416666666666668,18.7,24.46,0.0,6.459999999999999,10.1,0.0,10.1,0.0
37.0,2979032.0,6.197677848918166,2.4181027669202964,0.23735778388000453,1493.8493311390941,947.8710655523195,0.0,1.5641806229087951,36.69999999999989,3.2084793288224183,0.12931678722659248,0.045217586610922574,2.0929217104543514,0.020343069392139715,0.5459996664343032,0.16794220719466327,0.2067383015094384,0.0,0.0,0.043209876543209874,0.043209876543209874,0.012345679012345678,0.043209876543209874,0.043209876543209874,0.043209876543209874,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.043209876543209874,0.0,0.0,0.037037037037037035,0.0,0.0,0.043209876543209874,0.043209876543209874,0.043209876543209874,0.043209876543209874,0.043209876543209874,0.018518518518518517,0.0,0.0,0.043209876543209874,0.043209876543209874,0.043209876543209874,0.043209876543209874,0.043209876543209874,0.0,0.0,0.043209876543209874,0.030864197530864196,0.043209876543209874,0.006172839506172839,0.0,0.0,0.0,0.037037037037037035,0.043209876543209874,0.0,0.0,23.5,14.9,19.240000000000002,1.28,2.52,0.96,0.0,0.96,0.0
38.0,2703564.0,6.23833344521416,2.6019755906529993,0.27478735596996257,2875.3562590384795,1835.2228845178204,0.0,1.5641806229087951,36.699999999999896,3.2084793288224196,0.12931678722659248,0.045217586610922574,2.092921710454352,0.020343069392139722,0.5459996664343033,0.16794220719466327,0.20673830150943837,0.0,0.0,0.044585987261146494,0.0,0.01910828025477707,0.044585987261146494,0.044585987261146494,0.044585987261146494,0.0,0.0,0.01910828025477707,0.0,0.044585987261146494,0.044585987261146494,0.044585987261146494,0.0,0.012738853503184714,0.03184713375796178,0.01910828025477707,0.0,0.044585987261146494,0.044585987261146494,0.044585987261146494,0.044585987261146494,0.03184713375796178,0.03821656050955414,0.0,0.0,0.03821656050955414,0.025477707006369428,0.01910828025477707,0.044585987261146494,0.044585987261146494,0.0,0.0,0.044585987261146494,0.006369426751592357,0.044585987261146494,0.006369426751592357,0.0,0.0,0.0,0.01910828025477707,0.044585987261146494,0.0,0.0,24.75,16.25,20.55,0.0,2.55,0.55,0.0,0.55,0.0
39.0,4091502.0,6.863067897772003,2.6665052555624267,0.23996791616614707,2743.5976055794185,1698.383449036733,0.0,1.5641806229087953,36.6999999999999,3.208479328822419,0.12931678722659246,0.045217586610922574,2.0929217104543536,0.020343069392139732,0.5459996664343039,0.16794220719466327,0.20673830150943828,0.0,0.0,0.04195804195804196,0.0,0.0,0.04895104895104895,0.04895104895104895,0.04895104895104895,0.0,0.0,0.0,0.0,0.0,0.006993006993006993,0.04895104895104895,0.0,0.0,0.006993006993006993,0.0,0.0,0.04895104895104895,0.04895104895104895,0.04895104895104895,0.04895104895104895,0.04895104895104895,0.013986013986013986,0.0,0.0,0.04895104895104895,0.02097902097902098,0.04895104895104895,0.04895104895104895,0.027972027972027972,0.006993006993006993,0.0,0.04895104895104895,0.02097902097902098,0.04895104895104895,0.03496503496503497,0.0,0.0,0.0,0.02097902097902098,0.04895104895104895,0.013986013986013986,0.04895104895104895,26.0,14.5,20.0,0.0,2.0,0.0,0.0,0.0,0.0
40.0,398979.0,7.075753646311261,2.7480145110543868,0.19258754965321728,1787.0236501668187,1118.9578151307287,0.0,1.4322060946450403,39.03225806451611,5.488912818333499,0.1982164869294914,0.40717676665994057,2.7313719847185474,0.11109918569952697,0.7861863786140527,0.22495842283580456,1.0299035928761322,0.0,0.0,0.056338028169014086,0.0,0.0,0.04225352112676056,0.056338028169014086,0.0,0.0,0.0,0.056338028169014086,0.0,0.04225352112676056,0.028169014084507043,0.056338028169014086,0.0,0.014084507042253521,0.04225352112676056,0.014084507042253521,0.0,0.056338028169014086,0.028169014084507043,0.056338028169014086,0.056338028169014086,0.056338028169014086,0.014084507042253521,0.0,0.0,0.056338028169014086,0.014084507042253521,0.0,0.056338028169014086,0.0,0.0,0.0,0.056338028169014086,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.056338028169014086,0.056338028169014086,0.0,0.0,19.7,14.125,17.725,1.925,1.65,3.72,0.0,3.72,0.0
41.0,1511053.0,6.190191690953894,2.62332848022289,0.1978185023300422,2858.661014502636,1519.7769767731886,0.0,1.4322060946450397,39.03225806451611,5.488912818333484,0.19821648692949187,0.4071767666599393,2.731371984718536,0.11109918569952656,0.7861863786140502,0.22495842283580456,1.0299035928761358,0.0,0.0,0.04093567251461988,0.04093567251461988,0.04093567251461988,0.03508771929824561,0.04093567251461988,0.04093567251461988,0.03508771929824561,0.0,0.04093567251461988,0.0,0.04093567251461988,0.029239766081871343,0.04093567251461988,0.0,0.011695906432748537,0.03508771929824561,0.017543859649122806,0.0,0.04093567251461988,0.04093567251461988,0.023391812865497075,0.04093567251461988,0.04093567251461988,0.0,0.0,0.0,0.04093567251461988,0.005847953216374269,0.0,0.04093567251461988,0.0,0.0,0.0,0.04093567251461988,0.005847953216374269,0.04093567251461988,0.0,0.005847953216374269,0.0,0.0,0.03508771929824561,0.04093567251461988,0.029239766081871343,0.03508771929824561,21.2,12.0,16.619999999999997,1.3800000000000001,0.0,0.0,0.0,0.0,0.0
